temp_C,time_min,h2so4_M,h2o2_M,pulp_density_gL,Li_pct,Ni_pct,Co_pct,Mn_pct
10.0,180.5,2.0,0.333333,20.0,51.194,34.751,34.043,30.445
10.0,180.5,2.0,0.333333,124.333,52.386,58.124,55.948,55.702
10.0,180.5,2.0,0.333333,228.667,32.165,27.962,27.95,16.778
10.0,180.5,2.0,0.333333,333.0,20.131,16.569,16.848,9.698
10.0,180.5,2.0,0.666667,20.0,51.194,34.752,34.044,30.446
10.0,180.5,2.0,0.666667,124.333,52.386,58.124,55.948,55.702
10.0,180.5,2.0,0.666667,228.667,32.164,27.962,27.95,16.778
10.0,180.5,2.0,0.666667,333.0,20.13,16.569,16.848,9.698
10.0,180.5,2.0,1.0,20.0,51.194,34.752,34.045,30.446
10.0,180.5,2.0,1.0,124.333,52.385,58.124,55.948,55.701
10.0,180.5,2.0,1.0,228.667,32.163,27.961,27.95,16.777
10.0,180.5,2.0,1.0,333.0,20.13,16.568,16.847,9.698
10.0,270.25,0.3,0.0,20.0,68.234,59.953,60.646,70.15
10.0,270.25,0.3,0.0,124.333,61.399,67.512,62.872,59.622
10.0,270.25,0.3,0.0,228.667,22.924,24.705,22.213,12.65
10.0,270.25,0.3,0.0,333.0,5.519,4.265,4.344,0.46
10.0,270.25,0.3,0.333333,20.0,68.234,59.954,60.647,70.151
10.0,270.25,0.3,0.333333,124.333,61.399,67.513,62.872,59.623
10.0,270.25,0.3,0.333333,228.667,22.924,24.705,22.213,12.65
10.0,270.25,0.3,0.333333,333.0,5.519,4.265,4.344,0.46
10.0,270.25,0.3,0.666667,20.0,68.234,59.954,60.647,70.152
10.0,270.25,0.3,0.666667,124.333,61.398,67.512,62.871,59.623
10.0,270.25,0.3,0.666667,228.667,22.923,24.705,22.213,12.65
10.0,270.25,0.3,0.666667,333.0,5.518,4.264,4.344,0.46
10.0,270.25,0.3,1.0,20.0,68.233,59.953,60.646,70.151
10.0,270.25,0.3,1.0,124.333,61.397,67.511,62.87,59.622
10.0,270.25,0.3,1.0,228.667,22.923,24.704,22.213,12.649
10.0,270.25,0.3,1.0,333.0,5.518,4.264,4.344,0.46
10.0,270.25,0.725,0.0,20.0,68.236,59.957,60.65,70.151
10.0,270.25,0.725,0.0,124.333,61.401,67.516,62.875,59.625
10.0,270.25,0.725,0.0,228.667,22.925,24.707,22.214,12.651
10.0,270.25,0.725,0.0,333.0,5.519,4.265,4.344,0.461
10.0,270.25,0.725,0.333333,20.0,68.236,59.958,60.65,70.152
10.0,270.25,0.725,0.333333,124.333,61.401,67.517,62.875,59.625
10.0,270.25,0.725,0.333333,228.667,22.925,24.707,22.214,12.651
10.0,270.25,0.725,0.333333,333.0,5.519,4.265,4.344,0.461
10.0,270.25,0.725,0.666667,20.0,68.236,59.958,60.65,70.153
10.0,270.25,0.725,0.666667,124.333,61.401,67.516,62.874,59.625
10.0,270.25,0.725,0.666667,228.667,22.924,24.706,22.214,12.65
10.0,270.25,0.725,0.666667,333.0,5.519,4.265,4.344,0.46
10.0,270.25,0.725,1.0,20.0,68.235,59.958,60.649,70.152
10.0,270.25,0.725,1.0,124.333,61.399,67.515,62.873,59.624
10.0,270.25,0.725,1.0,228.667,22.924,24.706,22.214,12.65
10.0,270.25,0.725,1.0,333.0,5.519,4.264,4.344,0.46
10.0,270.25,1.15,0.0,20.0,68.236,59.961,60.652,70.151
10.0,270.25,1.15,0.0,124.333,61.402,67.519,62.876,59.626
10.0,270.25,1.15,0.0,228.667,22.926,24.707,22.215,12.651
10.0,270.25,1.15,0.0,333.0,5.519,4.265,4.345,0.461
10.0,270.25,1.15,0.333333,20.0,68.237,59.962,60.652,70.152
10.0,270.25,1.15,0.333333,124.333,61.403,67.519,62.877,59.626
10.0,270.25,1.15,0.333333,228.667,22.925,24.707,22.215,12.651
10.0,270.25,1.15,0.333333,333.0,5.519,4.265,4.345,0.461
10.0,270.25,1.15,0.666667,20.0,68.236,59.962,60.652,70.152
10.0,270.25,1.15,0.666667,124.333,61.402,67.519,62.876,59.626
10.0,270.25,1.15,0.666667,228.667,22.925,24.707,22.215,12.651
10.0,270.25,1.15,0.666667,333.0,5.519,4.265,4.344,0.461
10.0,270.25,1.15,1.0,20.0,68.235,59.961,60.651,70.152
10.0,270.25,1.15,1.0,124.333,61.401,67.518,62.875,59.625
10.0,270.25,1.15,1.0,228.667,22.925,24.707,22.214,12.651
10.0,270.25,1.15,1.0,333.0,5.519,4.265,4.344,0.461
10.0,270.25,1.575,0.0,20.0,68.235,59.963,60.653,70.149
10.0,270.25,1.575,0.0,124.333,61.403,67.52,62.877,59.625
10.0,270.25,1.575,0.0,228.667,22.926,24.708,22.215,12.651
10.0,270.25,1.575,0.0,333.0,5.519,4.265,4.345,0.461
10.0,270.25,1.575,0.333333,20.0,68.236,59.964,60.653,70.15
10.0,270.25,1.575,0.333333,124.333,61.403,67.521,62.877,59.626
10.0,270.25,1.575,0.333333,228.667,22.926,24.708,22.215,12.651
10.0,270.25,1.575,0.333333,333.0,5.519,4.265,4.345,0.461
10.0,270.25,1.575,0.666667,20.0,68.236,59.964,60.653,70.15
10.0,270.25,1.575,0.666667,124.333,61.402,67.52,62.877,59.626
10.0,270.25,1.575,0.666667,228.667,22.925,24.708,22.215,12.651
10.0,270.25,1.575,0.666667,333.0,5.519,4.265,4.344,0.461
10.0,270.25,1.575,1.0,20.0,68.234,59.963,60.652,70.15
10.0,270.25,1.575,1.0,124.333,61.401,67.519,62.876,59.625
10.0,270.25,1.575,1.0,228.667,22.925,24.707,22.215,12.651
10.0,270.25,1.575,1.0,333.0,5.519,4.265,4.344,0.461
10.0,270.25,2.0,0.0,20.0,68.233,59.965,60.653,70.145
10.0,270.25,2.0,0.0,124.333,61.402,67.521,62.877,59.624
10.0,270.25,2.0,0.0,228.667,22.926,24.708,22.215,12.651
10.0,270.25,2.0,0.0,333.0,5.519,4.265,4.345,0.461
10.0,270.25,2.0,0.333333,20.0,68.234,59.965,60.653,70.147
10.0,270.25,2.0,0.333333,124.333,61.402,67.521,62.877,59.624
10.0,270.25,2.0,0.333333,228.667,22.926,24.708,22.215,12.652
10.0,270.25,2.0,0.333333,333.0,5.519,4.265,4.345,0.461
10.0,270.25,2.0,0.666667,20.0,68.234,59.965,60.653,70.147
10.0,270.25,2.0,0.666667,124.333,61.401,67.52,62.877,59.624
10.0,270.25,2.0,0.666667,228.667,22.925,24.707,22.215,12.651
10.0,270.25,2.0,0.666667,333.0,5.519,4.265,4.344,0.461
10.0,270.25,2.0,1.0,20.0,68.232,59.965,60.652,70.146
10.0,270.25,2.0,1.0,124.333,61.4,67.519,62.876,59.623
10.0,270.25,2.0,1.0,228.667,22.925,24.707,22.214,12.651
10.0,270.25,2.0,1.0,333.0,5.519,4.265,4.344,0.461
10.0,360.0,0.3,0.0,20.0,59.431,57.372,56.855,57.618
10.0,360.0,0.3,0.0,124.333,60.383,63.089,58.812,56.351
10.0,360.0,0.3,0.0,228.667,23.3,24.873,22.387,17.039
10.0,360.0,0.3,0.0,333.0,3.345,3.303,3.014,1.306
10.0,360.0,0.3,0.333333,20.0,59.431,57.372,56.855,57.619
10.0,360.0,0.3,0.333333,124.333,60.383,63.089,58.812,56.351
10.0,360.0,0.3,0.333333,228.667,23.3,24.873,22.386,17.039
10.0,360.0,0.3,0.333333,333.0,3.345,3.303,3.014,1.306
10.0,360.0,0.3,0.666667,20.0,59.431,57.372,56.854,57.619
10.0,360.0,0.3,0.666667,124.333,60.382,63.088,58.811,56.35
10.0,360.0,0.3,0.666667,228.667,23.3,24.873,22.386,17.039
10.0,360.0,0.3,0.666667,333.0,3.345,3.303,3.014,1.306
10.0,360.0,0.3,1.0,20.0,59.43,57.371,56.853,57.617
10.0,360.0,0.3,1.0,124.333,60.38,63.087,58.81,56.349
10.0,360.0,0.3,1.0,228.667,23.299,24.872,22.386,17.038
10.0,360.0,0.3,1.0,333.0,3.345,3.303,3.013,1.306
10.0,360.0,0.725,0.0,20.0,59.432,57.375,56.857,57.619
10.0,360.0,0.725,0.0,124.333,60.384,63.091,58.814,56.352
10.0,360.0,0.725,0.0,228.667,23.301,24.874,22.387,17.039
10.0,360.0,0.725,0.0,333.0,3.345,3.303,3.014,1.306
10.0,360.0,0.725,0.333333,20.0,59.432,57.375,56.857,57.62
10.0,360.0,0.725,0.333333,124.333,60.384,63.091,58.813,56.352
10.0,360.0,0.725,0.333333,228.667,23.301,24.874,22.387,17.039
10.0,360.0,0.725,0.333333,333.0,3.345,3.303,3.014,1.306
10.0,360.0,0.725,0.666667,20.0,59.432,57.374,56.856,57.619
10.0,360.0,0.725,0.666667,124.333,60.383,63.09,58.813,56.351
10.0,360.0,0.725,0.666667,228.667,23.3,24.874,22.387,17.039
10.0,360.0,0.725,0.666667,333.0,3.345,3.303,3.014,1.306
10.0,360.0,0.725,1.0,20.0,59.431,57.373,56.855,57.618
10.0,360.0,0.725,1.0,124.333,60.382,63.089,58.811,56.35
10.0,360.0,0.725,1.0,228.667,23.3,24.873,22.386,17.039
10.0,360.0,0.725,1.0,333.0,3.345,3.303,3.014,1.306
10.0,360.0,1.15,0.0,20.0,59.432,57.376,56.858,57.619
10.0,360.0,1.15,0.0,124.333,60.384,63.092,58.814,56.352
10.0,360.0,1.15,0.0,228.667,23.301,24.874,22.387,17.039
10.0,360.0,1.15,0.0,333.0,3.345,3.303,3.014,1.306
10.0,360.0,1.15,0.333333,20.0,59.432,57.376,56.858,57.619
10.0,360.0,1.15,0.333333,124.333,60.384,63.092,58.814,56.352
10.0,360.0,1.15,0.333333,228.667,23.301,24.874,22.387,17.039
10.0,360.0,1.15,0.333333,333.0,3.345,3.303,3.014,1.306
10.0,360.0,1.15,0.666667,20.0,59.432,57.376,56.857,57.619
10.0,360.0,1.15,0.666667,124.333,60.383,63.091,58.813,56.351
10.0,360.0,1.15,0.666667,228.667,23.3,24.874,22.387,17.039
10.0,360.0,1.15,0.666667,333.0,3.345,3.303,3.014,1.306
10.0,360.0,1.15,1.0,20.0,59.431,57.375,56.856,57.618
10.0,360.0,1.15,1.0,124.333,60.382,63.09,58.812,56.35
10.0,360.0,1.15,1.0,228.667,23.3,24.873,22.386,17.039
10.0,360.0,1.15,1.0,333.0,3.345,3.303,3.014,1.306
10.0,360.0,1.575,0.0,20.0,59.431,57.377,56.857,57.617
10.0,360.0,1.575,0.0,124.333,60.383,63.092,58.814,56.351
10.0,360.0,1.575,0.0,228.667,23.301,24.874,22.387,17.039
10.0,360.0,1.575,0.0,333.0,3.345,3.303,3.014,1.306
10.0,360.0,1.575,0.333333,20.0,59.431,57.377,56.858,57.618
10.0,360.0,1.575,0.333333,124.333,60.383,63.092,58.814,56.351
10.0,360.0,1.575,0.333333,228.667,23.3,24.874,22.387,17.039
